total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,Cluster,Deficit Tier
1,1,0,0,0,0,0,1,Moderate Deficit
9,4,5,0,6,0,2,0,Server Deficit
2,1,1,0,1,1,0,1,Moderate Deficit
2,1,1,0,0,0,0,1,Moderate Deficit
3,2,1,0,0,0,2,1,Moderate Deficit
2,2,0,0,0,0,0,1,Moderate Deficit
3,3,0,0,0,0,0,1,Moderate Deficit
2,2,0,0,0,0,1,1,Moderate Deficit
2,2,0,0,0,0,0,1,Moderate Deficit
10,8,2,0,1,1,2,0,Server Deficit
3,3,0,0,1,0,0,1,Moderate Deficit
3,2,1,0,0,0,1,1,Moderate Deficit
2,0,2,0,0,0,1,1,Moderate Deficit
2,2,0,0,0,0,0,1,Moderate Deficit
5,2,3,0,3,0,0,1,Moderate Deficit
4,4,0,0,0,1,1,1,Moderate Deficit
5,3,2,0,3,0,0,1,Moderate Deficit
7,0,7,0,2,0,3,1,Moderate Deficit
2,1,1,0,0,0,1,1,Moderate Deficit
6,6,0,0,1,0,0,1,Moderate Deficit
2,1,1,0,0,0,0,1,Moderate Deficit
3,3,0,0,0,0,1,1,Moderate Deficit
2,1,1,0,1,0,0,1,Moderate Deficit
2,2,0,0,0,0,1,1,Moderate Deficit
2,2,0,0,0,0,1,1,Moderate Deficit
5,4,1,0,0,0,2,1,Moderate Deficit
2,2,0,0,0,0,1,1,Moderate Deficit
4,4,0,0,0,0,0,1,Moderate Deficit
2,1,1,0,1,0,0,1,Moderate Deficit
2,2,0,0,0,0,1,1,Moderate Deficit
2,2,0,0,0,0,1,1,Moderate Deficit
47,21,26,0,36,5,2,2,Well Equipped
4,4,0,0,1,0,0,1,Moderate Deficit
3,2,1,0,0,1,1,1,Moderate Deficit
2,1,1,0,0,0,2,1,Moderate Deficit
2,2,0,0,0,0,0,1,Moderate Deficit
2,2,0,0,0,0,0,1,Moderate Deficit
3,3,0,0,1,0,2,1,Moderate Deficit
2,2,0,0,0,1,0,1,Moderate Deficit
12,1,11,0,11,0,0,0,Server Deficit
1,1,0,0,0,0,1,1,Moderate Deficit
6,6,0,0,3,1,0,1,Moderate Deficit
2,1,1,0,0,0,1,1,Moderate Deficit
1,1,0,0,0,0,0,1,Moderate Deficit
11,8,3,0,3,2,0,0,Server Deficit
1,1,0,0,0,0,0,1,Moderate Deficit
2,1,1,0,0,1,0,1,Moderate Deficit
6,6,0,0,1,0,1,1,Moderate Deficit
2,1,1,0,1,0,1,1,Moderate Deficit
4,4,0,0,1,0,0,1,Moderate Deficit
2,2,0,0,0,0,1,1,Moderate Deficit
2,2,0,0,1,0,1,1,Moderate Deficit
2,2,0,0,2,0,0,1,Moderate Deficit
2,1,1,0,0,0,1,1,Moderate Deficit
5,2,3,0,2,1,0,1,Moderate Deficit
2,1,1,0,1,1,0,1,Moderate Deficit
1,1,0,0,0,0,0,1,Moderate Deficit
7,6,1,0,2,1,2,1,Moderate Deficit
5,4,1,0,2,0,2,1,Moderate Deficit
4,2,2,0,0,0,3,1,Moderate Deficit
4,4,0,0,0,0,0,1,Moderate Deficit
2,1,1,0,0,0,0,1,Moderate Deficit
2,1,1,0,0,0,1,1,Moderate Deficit
2,1,1,0,2,0,0,1,Moderate Deficit
1,1,0,0,0,0,0,1,Moderate Deficit
3,3,0,0,1,1,0,1,Moderate Deficit
2,1,1,0,0,0,0,1,Moderate Deficit
2,2,0,0,0,0,0,1,Moderate Deficit
3,3,0,0,0,1,0,1,Moderate Deficit
11,0,11,0,2,1,4,0,Server Deficit
3,3,0,0,1,0,1,1,Moderate Deficit
3,3,0,0,0,0,2,1,Moderate Deficit
6,5,1,0,1,1,1,1,Moderate Deficit
2,2,0,0,0,0,0,1,Moderate Deficit
3,3,0,0,1,0,0,1,Moderate Deficit
2,1,1,0,0,0,2,1,Moderate Deficit
2,2,0,0,0,0,1,1,Moderate Deficit
2,2,0,0,1,0,1,1,Moderate Deficit
2,2,0,0,0,0,1,1,Moderate Deficit
2,2,0,0,0,0,1,1,Moderate Deficit
41,24,17,0,15,1,0,2,Well Equipped
2,2,0,0,0,0,0,1,Moderate Deficit
